County,2010,2011,2012,2013,2014
"Pickens County, Georgia",29458,29468,29316,29509,29997
"Pierce County, Georgia",18802,18723,18835,18948,18991
"Pike County, Georgia",17918,17802,17804,17796,17784
"Polk County, Georgia",41532,41283,41127,41177,41133
"Pulaski County, Georgia",11919,11851,11680,11531,11483
"Putnam County, Georgia",21208,21261,21161,21310,21192
"Quitman County, Georgia",2505,2459,2398,2366,2315
"Rabun County, Georgia",16258,16279,16307,16247,16243
"Randolph County, Georgia",7672,7579,7308,7185,7313
"Richmond County, Georgia",201015,200595,201966,201276,201368
"Rockdale County, Georgia",85425,85601,85684,86815,87754
"Schley County, Georgia",5021,5025,4989,5072,5163
"Screven County, Georgia",14511,14393,14200,14216,14085
