County,2010,2011,2012,2013,2014
"Washtenaw County, Michigan",345525,349150,351301,354418,356874
"Wayne County, Michigan",1815497,1801614,1792770,1775703,1764804
"Wexford County, Michigan",32758,32695,32594,32561,32886
"Aitkin County, Minnesota",16219,16110,15945,15774,15771
"Anoka County, Minnesota",331438,332916,336132,339229,341864
"Becker County, Minnesota",32534,32817,33018,33224,33259
"Beltrami County, Minnesota",44585,45108,45241,45582,45664
"Benton County, Minnesota",38455,38823,38867,39250,39506
"Big Stone County, Minnesota",5260,5224,5165,5124,5127
"Blue Earth County, Minnesota",64069,64313,65000,64835,65385
"Brown County, Minnesota",25875,25680,25423,25293,25292
"Carlton County, Minnesota",35410,35475,35311,35383,35571
"Carver County, Minnesota",91376,92811,93890,95644,97338
"Cass County, Minnesota",28640,28371,28398,28527,28559
"Chippewa County, Minnesota",12451,12333,12149,12132,12110
"Chisago County, Minnesota",53934,53752,53491,53789,54025
"Clay County, Minnesota",59145,59957,60213,60646,61286
"Clearwater County, Minnesota",8708,8711,8682,8781,8791
"Cook County, Minnesota",5170,5211,5182,5184,5233
"Cottonwood County, Minnesota",11698,11741,11648,11662,11633
"Crow Wing County, Minnesota",62609,62652,62850,63125,63265
"Dakota County, Minnesota",399146,402034,405067,408829,412529
"Dodge County, Minnesota",20145,20175,20237,20319,20353
"Douglas County, Minnesota",36008,36258,36446,36563,36790
"Faribault County, Minnesota",14502,14538,14261,14191,14192
"Fillmore County, Minnesota",20837,20878,20894,20825,20776
"Freeborn County, Minnesota",31211,31097,31052,30972,30840
"Goodhue County, Minnesota",46184,46264,46393,46416,46423
"Grant County, Minnesota",5999,6001,5945,5986,5956
"Hennepin County, Minnesota",1154184,1169360,1184787,1200060,1212064
"Houston County, Minnesota",18997,18918,18816,18826,18738
"Hubbard County, Minnesota",20416,20487,20436,20680,20573
"Isanti County, Minnesota",37876,38242,38245,38174,38413
"Itasca County, Minnesota",45032,45137,45252,45506,45589
"Jackson County, Minnesota",10268,10195,10298,10268,10269
"Kanabec County, Minnesota",16235,16244,15999,16010,15930
"Kandiyohi County, Minnesota",42245,42248,42399,42403,42285
"Kittson County, Minnesota",4541,4535,4505,4489,4435
"Koochiching County, Minnesota",13301,13236,13180,13117,12856
"Lac qui Parle County, Minnesota",7233,7231,7116,7010,6891
"Lake County, Minnesota",10863,10805,10830,10778,10680
"Lake of the Woods County, Minnesota",4041,4023,3968,3931,3918
"Le Sueur County, Minnesota",27690,27802,27647,27678,27770
"Lincoln County, Minnesota",5877,5846,5800,5792,5788
"Lyon County, Minnesota",25856,25808,25618,25674,25665
"McLeod County, Minnesota",36608,36408,36011,35953,35882
"Mahnomen County, Minnesota",5424,5495,5521,5485,5505
"Marshall County, Minnesota",9429,9476,9471,9443,9417
"Martin County, Minnesota",20825,20631,20482,20418,20220
"Meeker County, Minnesota",23307,23200,23044,23079,23107
"Mille Lacs County, Minnesota",26083,25875,25728,25884,25884
"Morrison County, Minnesota",33230,33248,33097,32884,32810
"Mower County, Minnesota",39219,39322,39377,39318,39323
"Murray County, Minnesota",8685,8648,8574,8554,8470
"Nicollet County, Minnesota",32740,32963,32936,32883,33093
"Nobles County, Minnesota",21394,21568,21674,21719,21590
"Norman County, Minnesota",6847,6840,6637,6662,6639
"Olmsted County, Minnesota",144500,145981,147156,149232,150287
"Otter Tail County, Minnesota",57260,57307,57292,57591,57635
"Pennington County, Minnesota",13946,14023,14071,14105,14058
"Pine County, Minnesota",29718,29617,29223,29083,29095
"Pipestone County, Minnesota",9581,9516,9373,9282,9281
"Polk County, Minnesota",31662,31569,31513,31703,31704
"Pope County, Minnesota",10969,10927,10918,10932,10984
"Ramsey County, Minnesota",509372,515710,520919,527667,532655
"Red Lake County, Minnesota",4074,4102,4075,4063,4043
"Redwood County, Minnesota",16033,16055,15853,15712,15515
"Renville County, Minnesota",15674,15452,15343,15134,15025
"Rice County, Minnesota",64297,64937,64904,64854,65151
"Rock County, Minnesota",9659,9625,9551,9547,9553
"Roseau County, Minnesota",15557,15504,15487,15497,15679
"St. Louis County, Minnesota",200198,200418,200487,200763,200949
"Scott County, Minnesota",130480,132638,135254,137603,139672
"Sherburne County, Minnesota",88788,89251,89488,90197,91126
"Sibley County, Minnesota",15231,15175,15100,15058,14918
"Stearns County, Minnesota",150733,151249,151646,152098,152912
"Steele County, Minnesota",36506,36551,36301,36429,36573
"Stevens County, Minnesota",9710,9725,9745,9761,9800
"Swift County, Minnesota",9752,9679,9606,9535,9436
"Todd County, Minnesota",24880,24834,24546,24417,24264
"Traverse County, Minnesota",3539,3513,3426,3410,3387
"Wabasha County, Minnesota",21658,21522,21422,21462,21362
"Wadena County, Minnesota",13835,13706,13689,13782,13757
"Waseca County, Minnesota",19138,19175,19194,19101,19025
"Washington County, Minnesota",238897,241539,244112,246683,249283
"Watonwan County, Minnesota",11213,11182,11155,11123,11083
"Wilkin County, Minnesota",6573,6579,6608,6550,6495
"Winona County, Minnesota",51393,51347,51326,51262,51097
"Wright County, Minnesota",125102,126298,127316,128298,129918
"Yellow Medicine County, Minnesota",10436,10289,10168,10163,10109
"Adams County, Mississippi",32596,32427,32141,32043,31737
"Alcorn County, Mississippi",37111,37303,37237,37364,37380
"Amite County, Mississippi",13112,13177,12972,12895,12629
"Attala County, Mississippi",19559,19332,19123,19338,19163
"Benton County, Mississippi",8699,8711,8652,8506,8296
"Bolivar County, Mississippi",34121,33838,34061,34019,33768
"Calhoun County, Mississippi",14957,14914,14848,14739,14745
"Carroll County, Mississippi",10597,10471,10413,10353,10254
"Chickasaw County, Mississippi",17398,17446,17406,17317,17313
"Choctaw County, Mississippi",8558,8398,8355,8390,8294
"Claiborne County, Mississippi",9570,9779,9376,9177,9080
"Clarke County, Mississippi",16704,16658,16495,16389,16299
"Clay County, Mississippi",20557,20500,20395,20395,20225
"Coahoma County, Mississippi",26114,25862,25685,25165,24807
"Copiah County, Mississippi",29418,29230,28902,28795,28797
"Covington County, Mississippi",19585,19497,19523,19426,19442
"DeSoto County, Mississippi",161791,163905,166355,168364,170913
"Forrest County, Mississippi",75034,75918,76769,76745,76330
"Franklin County, Mississippi",8117,7984,7887,7901,7833
"George County, Mississippi",22654,22816,22872,23154,23303
"Greene County, Mississippi",14402,14285,14286,14241,14326
"Grenada County, Mississippi",21872,21593,21616,21552,21666
"Hancock County, Mississippi",44089,44743,45310,45587,45949
"Harrison County, Mississippi",187917,190946,193691,196597,199058
"Hinds County, Mississippi",245766,248409,248298,245616,243729
"Holmes County, Mississippi",19393,19187,19040,18746,18459
"Humphreys County, Mississippi",9336,9328,9208,8918,8741
"Issaquena County, Mississippi",1398,1395,1410,1416,1397
"Itawamba County, Mississippi",23397,23320,23371,23461,23527
"Jackson County, Mississippi",139518,140073,139969,140274,141137
"Jasper County, Mississippi",16986,16796,16535,16517,16601
"Jefferson County, Mississippi",7712,7576,7649,7632,7599
"Jefferson Davis County, Mississippi",12456,12188,12087,11948,11822
"Jones County, Mississippi",67882,67921,68385,68886,68290
"Kemper County, Mississippi",10474,10270,10366,10276,10163
"Lafayette County, Mississippi",47535,48404,50416,51993,52930
"Lamar County, Mississippi",56095,57148,57864,58983,60099
"Lauderdale County, Mississippi",80370,80591,80271,80332,79739
"Lawrence County, Mississippi",12896,12668,12601,12512,12502
"Leake County, Mississippi",23779,23305,23253,23309,23193
"Lee County, Mississippi",82931,84208,85115,85440,85246
"Leflore County, Mississippi",32331,31947,31566,31592,31422
"Lincoln County, Mississippi",34893,34855,34849,34750,34775
"Lowndes County, Mississippi",59820,59586,59641,59901,59730
"Madison County, Mississippi",95590,97110,98479,100241,101688
"Marion County, Mississippi",27054,26750,26398,26173,25868
"Marshall County, Mississippi",37073,36765,36587,36520,36234
"Monroe County, Mississippi",36890,36534,36378,36112,36003
"Montgomery County, Mississippi",10906,10755,10557,10550,10400
"Neshoba County, Mississippi",29668,29705,29679,29461,29465
"Newton County, Mississippi",21679,21509,21625,21709,21832
"Noxubee County, Mississippi",11507,11335,11175,11069,11115
"Oktibbeha County, Mississippi",47689,47853,48956,49284,49414
"Panola County, Mississippi",34670,34517,34464,34439,34444
"Pearl River County, Mississippi",55723,55469,55090,54957,55224
"Perry County, Mississippi",12207,12232,12080,12118,12227
"Pike County, Mississippi",40443,40420,40111,40015,40058
"Pontotoc County, Mississippi",30023,29784,30345,30770,30950
"Prentiss County, Mississippi",25218,25307,25310,25426,25428
"Quitman County, Mississippi",8175,8030,7802,7824,7678
"Rankin County, Mississippi",142532,144075,145604,147135,148070
"Scott County, Mississippi",28315,28297,28248,28241,28461
"Sharkey County, Mississippi",4878,4875,4787,4684,4647
"Simpson County, Mississippi",27503,27346,27334,27477,27463
"Smith County, Mississippi",16466,16515,16333,16216,16188
"Stone County, Mississippi",17896,17924,18049,17962,17875
"Sunflower County, Mississippi",29023,28574,28473,28003,27496
"Tallahatchie County, Mississippi",15344,15359,15103,15051,14761
"Tate County, Mississippi",28992,28734,28506,28349,28204
"Tippah County, Mississippi",22187,22067,21965,22086,22039
"Tishomingo County, Mississippi",19594,19595,19589,19461,19420
"Tunica County, Mississippi",10760,10587,10458,10512,10598
"Union County, Mississippi",27153,27335,27352,27745,28097
"Walthall County, Mississippi",15401,15381,15088,14903,14859
"Warren County, Mississippi",48812,48253,48120,48286,47983
"Washington County, Mississippi",51093,50450,50051,49638,48958
"Wayne County, Mississippi",20771,20649,20635,20508,20490
"Webster County, Mississippi",10283,10128,10051,9949,9972
"Wilkinson County, Mississippi",9852,9571,9451,9338,9191
"Winston County, Mississippi",19197,19024,18985,18727,18478
"Yalobusha County, Mississippi",12648,12510,12373,12358,12276
"Yazoo County, Mississippi",28096,28232,28282,27955,27817
"Adair County, Missouri",25619,25607,25671,25713,25602
"Andrew County, Missouri",17349,17295,17420,17420,17379
"Atchison County, Missouri",5659,5595,5532,5433,5382
"Audrain County, Missouri",25461,25593,25610,25635,25887
"Barry County, Missouri",35777,35660,35646,35660,35662
"Barton County, Missouri",12381,12382,12365,12247,12057
"Bates County, Missouri",17047,17028,16709,16531,16584
"Benton County, Missouri",19119,19028,18958,18895,18806
"Bollinger County, Missouri",12345,12384,12405,12444,12394
"Boone County, Missouri",163182,165922,168592,170929,172717
"Buchanan County, Missouri",89095,89583,89779,89738,89486
"Butler County, Missouri",42809,42999,43012,42992,42972
"Caldwell County, Missouri",9447,9210,9116,9075,9034
"Callaway County, Missouri",44338,44332,44458,44535,44750
"Camden County, Missouri",44034,43600,43870,43839,44021
"Cape Girardeau County, Missouri",75870,76630,77080,77530,78043
"Carroll County, Missouri",9275,9249,9095,9121,9043
"Carter County, Missouri",6292,6309,6253,6304,6258
"Cass County, Missouri",99697,99927,100439,100744,100889
"Cedar County, Missouri",13989,13839,13834,13947,13952
"Chariton County, Missouri",7849,7744,7683,7664,7694
"Christian County, Missouri",77887,78709,79781,80803,82101
"Clark County, Missouri",7137,7041,6987,6923,6917
"Clay County, Missouri",222696,225148,227689,230706,233682
"Clinton County, Missouri",20749,20671,20505,20503,20299
"Cole County, Missouri",76116,76431,76377,76649,76557
"Cooper County, Missouri",17589,17573,17529,17650,17585
"Crawford County, Missouri",24610,24814,24774,24554,24650
"Dade County, Missouri",7862,7777,7566,7559,7628
"Dallas County, Missouri",16731,16762,16775,16504,16389
"Daviess County, Missouri",8453,8322,8271,8277,8297
"DeKalb County, Missouri",12878,12914,12874,12762,12692
"Dent County, Missouri",15718,15602,15665,15766,15655
"Douglas County, Missouri",13645,13625,13598,13463,13546
"Dunklin County, Missouri",31952,32031,31872,31692,31344
"Franklin County, Missouri",101537,101648,101386,101757,102084
"Gasconade County, Missouri",15221,15104,14980,14899,14866
"Gentry County, Missouri",6732,6820,6799,6783,6826
"Greene County, Missouri",275377,277386,280686,283970,285865
"Grundy County, Missouri",10260,10251,10323,10366,10197
"Harrison County, Missouri",8952,8906,8741,8736,8639
"Henry County, Missouri",22241,22188,22150,22061,22028
"Hickory County, Missouri",9633,9583,9392,9274,9219
"Holt County, Missouri",4900,4830,4656,4571,4516
"Howard County, Missouri",10127,10189,10181,10260,10159
"Howell County, Missouri",40608,40642,40622,40298,40173
"Iron County, Missouri",10601,10485,10424,10344,10267
"Jackson County, Missouri",674920,675251,677390,680082,683191
"Jasper County, Missouri",117774,117858,115382,116424,117543
"Jefferson County, Missouri",219083,219644,220102,221245,222716
"Johnson County, Missouri",52702,53432,54418,54482,54362
"Knox County, Missouri",4125,4111,4084,4070,4000
"Laclede County, Missouri",35654,35577,35412,35640,35439
"Lafayette County, Missouri",33409,33241,33109,32898,32688
"Lawrence County, Missouri",38575,38464,38373,38095,38023
"Lewis County, Missouri",10200,10239,10160,10145,10138
"Lincoln County, Missouri",52708,53107,53348,53878,54249
"Linn County, Missouri",12753,12572,12486,12349,12311
"Livingston County, Missouri",15114,15108,15023,14870,15053
"McDonald County, Missouri",23065,22870,22920,22600,22800
"Macon County, Missouri",15605,15482,15556,15512,15479
"Madison County, Missouri",12202,12332,12467,12398,12368
"Maries County, Missouri",9176,9198,9036,9065,9013
"Marion County, Missouri",28792,28796,28809,28901,28920
"Mercer County, Missouri",3774,3780,3714,3689,3719
"Miller County, Missouri",24725,24841,24753,25066,25141
"Mississippi County, Missouri",14334,14257,14305,14251,14232
"Moniteau County, Missouri",15621,15696,15671,15750,15856
"Monroe County, Missouri",8795,8685,8686,8754,8707
"Montgomery County, Missouri",12238,12228,12024,11940,11841
"Morgan County, Missouri",20563,20396,20141,20232,20240
"New Madrid County, Missouri",18931,18789,18479,18368,18272
"Newton County, Missouri",58148,58822,59063,58785,58598
"Nodaway County, Missouri",23375,23428,23367,23229,23081
"Oregon County, Missouri",10922,11056,10997,10989,10911
"Osage County, Missouri",13875,13918,13860,13704,13703
"Ozark County, Missouri",9734,9661,9624,9550,9492
"Pemiscot County, Missouri",18253,18216,18117,17816,17650
"Perry County, Missouri",18968,18898,19024,19118,19202
"Pettis County, Missouri",42244,42118,42279,42199,42225
"Phelps County, Missouri",45316,45175,45183,44936,44847
"Pike County, Missouri",18486,18652,18551,18633,18541
"Platte County, Missouri",89727,90852,92126,93253,94788
"Polk County, Missouri",31171,31206,31105,31073,31054
"Pulaski County, Missouri",52869,53277,53389,53743,53436
"Putnam County, Missouri",4967,4954,4930,4874,4829
"Ralls County, Missouri",10175,10281,10238,10172,10255
"Randolph County, Missouri",25446,25259,25305,24954,25072
"Ray County, Missouri",23477,23320,23058,23028,22949
"Reynolds County, Missouri",6688,6691,6671,6603,6565
"Ripley County, Missouri",14106,14138,14035,14033,13969
"St. Charles County, Missouri",361671,365051,368791,373900,379493
"St. Clair County, Missouri",9833,9718,9530,9509,9457
"Ste. Genevieve County, Missouri",18122,18241,17872,17934,17914
"St. Francois County, Missouri",65521,65552,65835,66199,65960
"St. Louis County, Missouri",998880,999067,1000800,1001491,1001876
"Saline County, Missouri",23409,23331,23472,23258,23347
"Schuyler County, Missouri",4439,4385,4388,4359,4370
"Scotland County, Missouri",4828,4833,4872,4916,4863
"Scott County, Missouri",39259,39154,39149,39221,38903
"Shannon County, Missouri",8442,8419,8323,8285,8329
"Shelby County, Missouri",6367,6233,6226,6156,6108
"Stoddard County, Missouri",30012,29838,29828,29774,29867
"Stone County, Missouri",32043,31853,31613,31351,31104
"Sullivan County, Missouri",6717,6656,6525,6448,6411
"Taney County, Missouri",51940,52690,53062,53508,54230
"Texas County, Missouri",26023,25932,25748,25637,25642
"Vernon County, Missouri",21150,21005,20798,20967,21001
"Warren County, Missouri",32574,32614,32785,33010,33253
"Washington County, Missouri",25164,25094,25091,25137,25077
"Wayne County, Missouri",13513,13386,13377,13421,13452
"Webster County, Missouri",36278,36302,36334,36502,36888
"Worth County, Missouri",2152,2123,2078,2086,2073
"Wright County, Missouri",18859,18635,18610,18430,18291
"St. Louis city, Missouri",319258,319188,319274,318496,317419
"Beaverhead County, Montana",9248,9212,9356,9308,9345
"Big Horn County, Montana",12919,13054,13008,13134,13282
"Blaine County, Montana",6484,6556,6637,6582,6619
"Broadwater County, Montana",5638,5732,5762,5687,5667
"Carbon County, Montana",10057,10076,10109,10305,10399
"Carter County, Montana",1154,1142,1174,1169,1169
"Cascade County, Montana",81506,81747,81765,82404,82344
"Chouteau County, Montana",5811,5803,5927,5861,5894
"Custer County, Montana",11699,11772,11845,11936,12092
